,id,ask,bedrooms,title,original_title,cl_title,address,post_at,created_at,updated_at,source_id,survey_id,latitude,longitude,uniqueid,town,comm_type,tract10,ct10_id,neighborhood_01,neighborhood_02,neighborhood_03
174321,606354,1275,4, FOUR BEDROOM APARTMENT SOUTHBRIDGE 1275 ,4  BEDROOM APT SOUTHBRIDGE $1275, FOUR BEDROOM APARTMENT SOUTHBRIDGE 1275 ,NA,12/5/15 17:09,52:15.7,52:15.7,1,38,-72.029102,42.07252,1275 4 4  BEDROOM APT SOUTHBRIDGE  1275 -72.029102 42.07252,SOUTHBRIDGE,Regional Urban Centers,757200,25027757200,NA,NA,NA
174323,606356,1950,0, AVAILABLE NOW FRESH LUXURY STUDIO STEPS TO HARVARD AMENITIES 1500 OFF ,Õ¢ë_ëÔAVAIL NOWÕ¢ë_ëê Fresh Luxury Studio Steps To Harvard Amenities $1500 OFF, AVAILABLE NOW FRESH LUXURY STUDIO STEPS TO HARVARD AMENITIES 1500 OFF ,NA,12/5/15 17:05,52:15.7,52:15.7,1,38,-71.12784,42.364613,1950 0 Õ ë_ëÔAVAIL NOWÕ ë_ëê Fresh Luxury Studio Steps To Harvard Amenities  1500 OFF -71.12784 42.364613,BOSTON,Inner Core,803,25025000803,Allston,Allston,ALLSTON
174324,606357,2700,1, STEPS TO HARVARD MED LARGE ONE BEDROOM HARDWOOD STAINLESS AVAILABLE NOW ,Õ¢ë_ëÔSTEPS TO HARVARD MEDÕ¢ë_ëê Spacious One Bed Hardwood Stainless AVAIL NOW, STEPS TO HARVARD MED LARGE ONE BEDROOM HARDWOOD STAINLESS AVAILABLE NOW ,NA,12/5/15 17:07,52:21.0,52:21.0,1,38,-71.100911,42.344961,2700 1 Õ ë_ëÔSTEPS TO HARVARD MEDÕ ë_ëê Spacious One Bed Hardwood Stainless AVAIL NOW -71.100911 42.344961,BOSTON,Inner Core,10204,25025010204,Fenway,Fenway,FENWAY
174325,606358,2700,1, STEPS TO LONGWOOD ONE 1 UPSCALE ONE BEDROOM HARDWOOD STAINLESS CONCIERGE ,Õ¢ë_ëÔSTEPS TO LONGWOODÕ¢ë_ëê 1/1 Upscale One Bed Hardwood Stainless Concierge, STEPS TO LONGWOOD ONE 1 UPSCALE ONE BEDROOM HARDWOOD STAINLESS CONCIERGE ,NA,12/5/15 16:53,52:21.0,52:21.0,1,38,-71.100911,42.344961,2700 1 Õ ë_ëÔSTEPS TO LONGWOODÕ ë_ëê 1 1 Upscale One Bed Hardwood Stainless Concierge -71.100911 42.344961,BOSTON,Inner Core,10204,25025010204,Fenway,Fenway,FENWAY
174333,606464,2700,2, TWO BEDROOM CONDO IN REGENCY PARK ,2 Bedroom condo in Regency Park, TWO BEDROOM CONDO IN REGENCY PARK ,NA,12/5/15 11:44,53:29.5,53:29.5,1,38,-71.140044,42.338086,2700 2 2 Bedroom condo in Regency Park -71.140044 42.338086,BROOKLINE,Inner Core,400600,25021400600,NA,NA,NA
174337,606369,2900,2, NEW CONSTRUCTION TWO BEDROOM ONE BATH MODERN CONDO HALF FEE ,New construction - 2 BR 1 Bath modern condo - Half fee, NEW CONSTRUCTION TWO BEDROOM ONE BATH MODERN CONDO HALF FEE ,NA,12/6/15 14:15,52:31.5,52:31.5,1,38,-71.052037,42.337799,2900 2 New construction   2 BR 1 Bath modern condo   Half fee -71.052037 42.337799,BOSTON,Inner Core,60700,25025060700,South Boston,South Boston,SEAPORT FT PT
174338,606370,3100,2, SUNNY TWO BEDROOM TWO BATH NEW CONSTRUCTION JUST OFF D STREET HALF FEE ,Sunny 2 BR 2 Bath new construction just off D St! Half fee, SUNNY TWO BEDROOM TWO BATH NEW CONSTRUCTION JUST OFF D STREET HALF FEE ,NA,12/6/15 14:10,52:31.5,52:31.5,1,38,-71.052037,42.337799,3100 2 Sunny 2 BR 2 Bath new construction just off D St  Half fee -71.052037 42.337799,BOSTON,Inner Core,60700,25025060700,South Boston,South Boston,SEAPORT FT PT
174339,606371,4400,2, NEW CONSTRUCTION TOWNHOUSE WITH TWO PARKING FOR RENT ,New construction townhouse with 2 PARKING for RENT, NEW CONSTRUCTION TOWNHOUSE WITH TWO PARKING FOR RENT ,NA,12/5/15 16:27,52:31.5,52:31.5,1,38,-71.052037,42.337799,4400 2 New construction townhouse with 2 PARKING for RENT -71.052037 42.337799,BOSTON,Inner Core,60700,25025060700,South Boston,South Boston,SEAPORT FT PT
174340,606372,2195,1, 1ST FLOOR ONE BEDROOM ONE BATH WITH ATTACHED GARAGE ,1st floor 1 bed 1 bath with attached garage, 1ST FLOOR ONE BEDROOM ONE BATH WITH ATTACHED GARAGE ,NA,12/5/15 16:22,52:31.5,52:31.5,1,38,-71.04075,42.240282,2195 1 1st floor 1 bed 1 bath with attached garage -71.04075 42.240282,QUINCY,Regional Urban Centers,418200,25021418200,Quincy,NA,NA
174341,606373,1800,1, HALF OF ONE TWO FAMILY HOUSE ,Half of a 2 family house, HALF OF ONE TWO FAMILY HOUSE ,NA,12/5/15 16:22,52:31.5,52:31.5,1,38,-70.623007,41.641713,1800 1 Half of a 2 family house -70.623007 41.641713,FALMOUTH,Maturing Suburbs,14300,25001014300,NA,NA,NA
174344,606376,1700,2, WALTHAM TWO BEDROOM W 2CAR PARKING ,Waltham 2 Bedroom w/2car parking, WALTHAM TWO BEDROOM W 2CAR PARKING ,NA,12/6/15 14:32,52:36.7,52:36.7,1,38,-71.218023,42.394293,1700 2 Waltham 2 Bedroom w 2car parking -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174345,606377,2290,2, TWO BEDROOM TWO BATH TOWNHOME INCLUDED HEAT AND HOT WATER ,2 bed 2 bath townhome including heat and hot water, TWO BEDROOM TWO BATH TOWNHOME INCLUDED HEAT HOT WATER ,NA,12/5/15 16:52,52:36.7,52:36.7,1,38,-71.218023,42.394293,2290 2 2 bed 2 bath townhome including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174346,606378,2020,2, TWO BEDROOM TWO BATH APARTMENT INCLUDED HEAT AND HOT WATER ,2 bed 2 bath apartment including heat and hot water, TWO BEDROOM TWO BATH APARTMENT INCLUDED HEAT HOT WATER ,NA,12/5/15 16:51,52:36.7,52:36.7,1,38,-71.218023,42.394293,2020 2 2 bed 2 bath apartment including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174347,606379,2065,2, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT AND HOT WATER ,2 bed 1 bath apartment including heat and hot water, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT HOT WATER ,NA,12/5/15 16:45,52:36.7,52:36.7,1,38,-71.218023,42.394293,2065 2 2 bed 1 bath apartment including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174348,606380,2010,2, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT AND HOT WATER ,2 bed 1 bath apartment including heat and hot water, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT HOT WATER ,NA,12/5/15 16:21,52:36.8,52:36.8,1,38,-71.218023,42.394293,2010 2 2 bed 1 bath apartment including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174349,606381,2095,2, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT AND HOT WATER ,2 bed 1 bath apartment including heat and hot water, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT HOT WATER ,NA,12/5/15 16:19,52:36.8,52:36.8,1,38,-71.218023,42.394293,2095 2 2 bed 1 bath apartment including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174350,606382,2135,2, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT AND HOT WATER ,2 bed 1 bath apartment including heat and hot water, TWO BEDROOM ONE BATH APARTMENT INCLUDED HEAT HOT WATER ,NA,12/5/15 16:17,52:36.8,52:36.8,1,38,-71.218023,42.394293,2135 2 2 bed 1 bath apartment including heat and hot water -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174353,606385,1500,1, PET FRIENDLY 1BEDS UNIT AVAILABLE NOW ,Pet Friendly /1Beds unit/ Avail NOW, PET FRIENDLY 1BEDS UNIT AVAILABLE NOW ,NA,12/3/15 2:14,52:36.8,52:36.8,1,38,-71.218023,42.394293,1500 1 Pet Friendly  1Beds unit  Avail NOW -71.218023 42.394293,WALTHAM,Inner Core,369000,25017369000,NA,NA,NA
174354,606386,2400,4, RENOVATED TWO FAMILY W SS APPLIANCES W DHOOKUP W LIVING DINNING ROOM ,"Renovated Two Family w/SS Appliances, w/dHookup w/living, Dinning room", RENOVATED TWO FAMILY W SS APPLIANCES W DHOOKUP W LIVING DINNING ROOM ,NA,12/5/15 16:16,52:36.8,52:36.8,1,38,-71.050662,42.30961,2400 4 Renovated Two Family w SS Appliances  w dHookup w living  Dinning room -71.050662 42.30961,BOSTON,Inner Core,91001,25025091001,Dorchester,Dorchester,UPHAMS SAVIN
174355,606387,1400,1, SQUANTUM APARTMENT W HEAT HOT WATER INCLUDED ,Squantum Apartment w Heat & Hot Water Included, SQUANTUM APARTMENT W HEAT HOT WATER INCLUDED ,NA,12/5/15 16:12,52:36.8,52:36.8,1,38,-71.017373,42.297004,1400 1 Squantum Apartment w Heat   Hot Water Included -71.017373 42.297004,QUINCY,Regional Urban Centers,417400,25021417400,Quincy,NA,NA
174356,606388,1800,3, JFK SAVIN HILL AREA THREE BEDROOM LARGE 3RD FLR HOTWATER GAS COOKING INCLUDE ,JFK/Savin Hill Area 3BR Spacious 3rd Flr Hotwater& Gas Cooking include, JFK SAVIN HILL AREA THREE BEDROOM LARGE 3RD FLR HOTWATER GAS COOKING INCLUDE ,NA,12/5/15 16:12,52:36.8,52:36.8,1,38,-71.060116,42.319292,1800 3 JFK Savin Hill Area 3BR Spacious 3rd Flr Hotwater  Gas Cooking include -71.060116 42.319292,BOSTON,Inner Core,91200,25025091200,Dorchester,Dorchester,UPHAMS SAVIN
174357,606389,1965,2, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,Two bedroom townhome -incl heat & hot water, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,NA,12/5/15 16:50,52:42.0,52:42.0,1,38,-71.224268,42.380714,1965 2 Two bedroom townhome  incl heat   hot water -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174358,606390,2005,2, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,Two bedroom townhome -incl heat & hot water, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,NA,12/5/15 16:49,52:42.0,52:42.0,1,38,-71.224268,42.380714,2005 2 Two bedroom townhome  incl heat   hot water -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174359,606391,2015,2, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,Two bedroom townhome -incl heat & hot water, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,NA,12/5/15 16:48,52:42.0,52:42.0,1,38,-71.224268,42.380714,2015 2 Two bedroom townhome  incl heat   hot water -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174360,606392,2030,2, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,Two bedroom townhome -incl heat & hot water, TWO BEDROOM TOWNHOME INCLUDED HEAT HOT WATER ,NA,12/5/15 16:47,52:42.0,52:42.0,1,38,-71.224268,42.380714,2030 2 Two bedroom townhome  incl heat   hot water -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174361,606393,1615,1, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,Beautiful & Spacious 1 Bed - Includes heat & hot water!, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,NA,12/5/15 16:11,52:42.1,52:42.1,1,38,-71.224268,42.380714,1615 1 Beautiful   Spacious 1 Bed   Includes heat   hot water  -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174362,606394,1660,1, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,Beautiful & Spacious 1 Bed - Includes heat & hot water!, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,NA,12/5/15 16:09,52:42.1,52:42.1,1,38,-71.224268,42.380714,1660 1 Beautiful   Spacious 1 Bed   Includes heat   hot water  -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174363,606395,1625,1, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,Beautiful & Spacious 1 Bed - Includes heat & hot water!, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,NA,12/5/15 16:08,52:42.1,52:42.1,1,38,-71.224268,42.380714,1625 1 Beautiful   Spacious 1 Bed   Includes heat   hot water  -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174364,606396,1670,1, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,Beautiful & Spacious 1 Bed - Includes heat & hot water!, BEAUTIFUL LARGE ONE BEDROOM INCLUDES HEAT HOT WATER ,NA,12/5/15 16:07,52:42.1,52:42.1,1,38,-71.224268,42.380714,1670 1 Beautiful   Spacious 1 Bed   Includes heat   hot water  -71.224268 42.380714,WALTHAM,Inner Core,368902,25017368902,NA,NA,NA
174366,606398,1800,2, DAVIS ALEWIFE TWO BEDROOM WITH FREE LAUNDRY HARDWOOD DISHWASHER ,Davis / Alewife - 2 Bed with Free Laundry -Hardwood -Dishwasher, DAVIS ALEWIFE TWO BEDROOM WITH FREE LAUNDRY HARDWOOD DISHWASHER ,NA,12/9/15 17:48,52:47.3,52:47.3,1,38,-71.132824,42.395725,1800 2 Davis   Alewife   2 Bed with Free Laundry  Hardwood  Dishwasher -71.132824 42.395725,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174368,606400,3000,3, STUNNING THREE BEDROOM 2BATH IN NORTH CAMBRIDGE ,Stunning 3bd 2bath in North Cambridge, STUNNING THREE BEDROOM 2BATH IN NORTH CAMBRIDGE ,NA,12/8/15 21:45,52:47.3,52:47.3,1,38,-71.132996,42.395782,3000 3 Stunning 3bd 2bath in North Cambridge -71.132996 42.395782,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174369,606401,1800,2, DAVIS ALEWIFE TWO BEDROOM WITH FREE LAUNDRY ,( [ ( { Davis / Alewife - 2 Bed with Free Laundry } ) ] ), DAVIS ALEWIFE TWO BEDROOM WITH FREE LAUNDRY ,NA,12/8/15 19:48,52:47.3,52:47.3,1,38,-71.132824,42.395725,1800 2         Davis   Alewife   2 Bed with Free Laundry         -71.132824 42.395725,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174370,606402,1800,2, NORTH CAMBRIDGE TWO BEDROOM DEAL W FREE LAUNDRY NEW BATH 10MIN TO DAVIS TRANSIT ,North Cambridge 2bd Deal w/Free Laundry & New Bath <10min to Davis T!!, NORTH CAMBRIDGE TWO BEDROOM DEAL W FREE LAUNDRY NEW BATH 10MIN TO DAVIS TRANSIT ,NA,12/8/15 17:53,52:47.3,52:47.3,1,38,-71.132824,42.395725,1800 2 North Cambridge 2bd Deal w Free Laundry   New Bath  10min to Davis T   -71.132824 42.395725,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174371,606403,1800,2, NORTH CAMBRIDGE MEGA STEAL TWO BEDROOM TEN MINS TO DAVIS DW ,NORTH Cambridge --- MEGA STEAL --- Two Bedroom 10 mins to DAVIS --- DW, NORTH CAMBRIDGE MEGA STEAL TWO BEDROOM TEN MINS TO DAVIS DW ,NA,12/5/15 16:09,52:47.3,52:47.3,1,38,-71.132824,42.395725,1800 2 NORTH Cambridge     MEGA STEAL     Two Bedroom 10 mins to DAVIS     DW -71.132824 42.395725,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174372,606404,1800,2, CHARMING TWO BEDROOM TEN MINS TO THE TRANSIT FEBRUARY 1ST ,-- Charming 2 Bed -- 10 Mins to the T - February 1st, CHARMING TWO BEDROOM TEN MINS TO THE TRANSIT FEBRUARY 1ST ,NA,12/3/15 0:13,52:47.3,52:47.3,1,38,-71.132824,42.395725,1800 2    Charming 2 Bed    10 Mins to the T   February 1st -71.132824 42.395725,CAMBRIDGE,Inner Core,354900,25017354900,North Cambridge,NA,NA
174375,606407,1100,2, TWO BEDROOM ON BOULEVARD INCLUDES HEAT BRAND NEW EVERYTHING 1ST FLOOR ,2-Bedroom on Boulevard. Includes Heat. Brand New Everything. 1st Floor, TWO BEDROOM ON BOULEVARD INCLUDES HEAT BRAND NEW EVERYTHING 1ST FLOOR ,NA,12/5/15 15:52,52:47.3,52:47.3,1,38,-71.356736,42.640607,1100 2 2 Bedroom on Boulevard  Includes Heat  Brand New Everything  1st Floor -71.356736 42.640607,LOWELL,Regional Urban Centers,310601,25017310601,NA,NA,NA
174378,606410,2000,1, JANUARY CAMBRIDGE ONE BEDROOM W PARKING DISHWASHER ,*** (( JANUARY )) *** Cambridge one bedroom w/ PARKING *** Dishwasher, JANUARY CAMBRIDGE ONE BEDROOM W PARKING DISHWASHER ,NA,12/3/15 18:53,52:52.6,52:52.6,1,38,-71.109562,42.358254,2000 1        JANUARY        Cambridge one bedroom w  PARKING     Dishwasher -71.109562 42.358254,CAMBRIDGE,Inner Core,353200,25017353200,Cambridgeport,NA,NA
174379,606411,2000,1, CENTRAL CAMBRIDGEPORT ONE BEDROOM HEAT INCLUDED ,(          Central / Cambridgeport 1 Bedroom -Heat Included          ), CENTRAL CAMBRIDGEPORT ONE BEDROOM HEAT INCLUDED ,NA,12/2/15 20:57,52:52.6,52:52.6,1,38,-71.109562,42.358254,2000 1            Central   Cambridgeport 1 Bedroom  Heat Included            -71.109562 42.358254,CAMBRIDGE,Inner Core,353200,25017353200,Cambridgeport,NA,NA
174380,606412,2400,3, THREE BEDROOM CONDO IN MEDFORD WASHER DRYER IN UNIT PARKING SPACE BUSLIN ,3 Bedroom Condo in Medford- Washer/Dryer in unit- parking space-Buslin, THREE BEDROOM CONDO IN MEDFORD WASHER DRYER IN UNIT PARKING SPACE BUSLIN ,NA,12/5/15 15:42,52:52.6,52:52.6,1,38,-71.118386,42.419102,2400 3 3 Bedroom Condo in Medford  Washer Dryer in unit  parking space Buslin -71.118386 42.419102,MEDFORD,Inner Core,339400,25017339400,NA,NA,NA
174381,606413,2634,2, TWO BEDROOM ONE BATH WITH EXTRA LARGE GARAGE ,2 bed 1 bath with extra large garage, TWO BEDROOM ONE BATH WITH EXTRA LARGE GARAGE ,NA,12/5/15 15:41,52:52.6,52:52.6,1,38,-71.041953,42.245094,2634 2 2 bed 1 bath with extra large garage -71.041953 42.245094,QUINCY,Regional Urban Centers,418200,25021418200,Quincy,NA,NA
174382,606414,2089,1, ONE BEDROOM DEN USE AS AN OFFICE OR GUEST BEDROOM 199 DEPOSIT ,1BR + den! Use as an office or guest bedroom! $199 deposit, ONE BEDROOM DEN USE AS AN OFFICE OR GUEST BEDROOM 199 DEPOSIT ,NA,12/5/15 15:37,52:57.8,52:57.8,1,38,-71.133741,42.530829,2089 1 1BR   den  Use as an office or guest bedroom   199 deposit -71.133741 42.530829,WILMINGTON,Maturing Suburbs,331102,25017331102,NA,NA,NA
174384,606416,2253,2, SUNNY TWO BEDROOM WITH 500 OFF FIRST MONTH S RENT 199 DEPOSIT ,Sunny 2BR with $500 off first month's rent! $199 deposit, SUNNY TWO BEDROOM WITH 500 OFF FIRST MONTH S RENT 199 DEPOSIT ,NA,12/4/15 16:32,52:57.8,52:57.8,1,38,-71.13397,42.530657,2253 2 Sunny 2BR with  500 off first month s rent   199 deposit -71.13397 42.530657,WILMINGTON,Maturing Suburbs,331102,25017331102,NA,NA,NA
174385,606417,1888,1, HANDICAP ACCESSIBLE ONE BEDROOM WITH SO MUCH SPACE 500 OFF FIRST MONTH ,Handicap accessible 1BR with SO much space! $500 off first month!, HANDICAP ACCESSIBLE ONE BEDROOM WITH SO MUCH SPACE 500 OFF FIRST MONTH ,NA,12/3/15 18:35,52:57.9,52:57.9,1,38,-71.133111,42.530943,1888 1 Handicap accessible 1BR with SO much space   500 off first month  -71.133111 42.530943,READING,Maturing Suburbs,334100,25017334100,NA,NA,NA
174386,606418,2089,1, ONE BEDROOM DEN AT ONE LOW PRICE MOVE AFTER THE HOLIDAYS 199 DEPOSIT ,1 bed + den at a low price! Move after the holidays! $199 deposit, ONE BEDROOM DEN AT ONE LOW PRICE MOVE AFTER THE HOLIDAYS 199 DEPOSIT ,NA,12/3/15 18:15,52:57.9,52:57.9,1,38,-71.133569,42.531,2089 1 1 bed   den at a low price  Move after the holidays   199 deposit -71.133569 42.531,WILMINGTON,Maturing Suburbs,331102,25017331102,NA,NA,NA
174387,606419,1495,4, THREE FOUR BEDROOM 2ND FLOOR DELEADED ,3-4 Bedroom 2nd floor Deleaded, THREE FOUR BEDROOM 2ND FLOOR DELEADED ,NA,12/5/15 15:37,52:57.9,52:57.9,1,38,-71.099249,41.898799,1495 4 3 4 Bedroom 2nd floor Deleaded -71.099249 41.898799,TAUNTON,Regional Urban Centers,613800,25005613800,NA,NA,NA
174388,606420,800,2, LARGE BEACON HILL ROOM W PRIVATE BATH IN 2BEDAPT PARKING GYM 800WEEK ,LARGE Beacon Hill Room w/PRIVATE Bath in 2bedApt/Parking/Gym/$800week, LARGE BEACON HILL ROOM W PRIVATE BATH IN 2BEDAPT PARKING GYM 800WEEK ,NA,12/5/15 15:37,52:57.9,52:57.9,1,38,-71.068309,42.362665,800 2 LARGE Beacon Hill Room w PRIVATE Bath in 2bedApt Parking Gym  800week -71.068309 42.362665,BOSTON,Inner Core,20301,25025020301,West End,West End,N END/WATERFRONT
174389,606421,675,2, NEWLY RENOVATED ONE BEDROOM AVAILABLE IN ONE TWO BEDROOM ,Newly renovated one bedroom available in a two bedroom., NEWLY RENOVATED ONE BEDROOM AVAILABLE IN ONE TWO BEDROOM ,NA,12/5/15 15:36,52:57.9,52:57.9,1,38,-71.052381,42.290415,675 2 Newly renovated one bedroom available in a two bedroom  -71.052381 42.290415,BOSTON,Inner Core,100601,25025100601,Dorchester,Dorchester,NEPONSET F.C.
174390,606422,1800,3, DELEADED THREE BEDROOM APARTMENT IN MALDEN ,"Deleaded,3 bedrooms Apt in Malden", DELEADED THREE BEDROOM APARTMENT IN MALDEN ,NA,12/5/15 15:29,52:57.9,52:57.9,1,38,-71.044933,42.431879,1800 3 Deleaded 3 bedrooms Apt in Malden -71.044933 42.431879,MALDEN,Inner Core,341800,25017341800,NA,NA,NA
174391,606423,1500,1, NEWBURYPORT DOWNTOWN APARTMENT ,Newburyport Downtown Apartment, NEWBURYPORT DOWNTOWN APARTMENT ,NA,12/5/15 15:27,52:57.9,52:57.9,1,38,-70.87041,42.811234,1500 1 Newburyport Downtown Apartment -70.87041 42.811234,NEWBURYPORT,Regional Urban Centers,268300,25009268300,NA,NA,NA
174392,606424,2200,2, THREE BEDROOM ONE BATH PARKING LAUNDRY HARDWOOD FL ,"3 Bed, 1 Bath, Parking, Laundry, HWD FL", THREE BEDROOM ONE BATH PARKING LAUNDRY HARDWOOD FL ,NA,12/5/15 15:18,52:57.9,52:57.9,1,38,-71.123829,42.410908,2200 2 3 Bed  1 Bath  Parking  Laundry  HWD FL -71.123829 42.410908,MEDFORD,Inner Core,339400,25017339400,NA,NA,NA
174393,606425,1450,3, THREE BEDROOM ONE BATH HEAT AND HOT WATER INCLUDED ,3bd / 1 bath (Heat and Hot Water Included), THREE BEDROOM ONE BATH HEAT HOT WATER INCLUDED ,NA,12/5/15 15:17,52:57.9,52:57.9,1,38,-71.023447,42.085927,1450 3 3bd   1 bath  Heat and Hot Water Included  -71.023447 42.085927,BROCKTON,Regional Urban Centers,510900,25023510900,NA,NA,NA
