,ADDR_NUM_merge,BASE_merge,COMMUNITY_Merge,address,ask,bedrooms,census_tract,cl_title,comm_type,created_at,ct10_id,fwd_geolocated,id,joint_addresses_merge,latitude,latitude_merge,longitude,longitude_merge,mapzen_confidence,mapzen_geolocated,neighborhood_01,neighborhood_02,neighborhood_03,original_title,post_at,repeated_location,rev_geolocated,source_id,survey_id,title,town,tract10,tract10_fwd_geocode,uniqueid,updated_at
174503.0,20.0,Armington,Allston,,1650.0,1.0,602.0, ONE BEDROOM ONE BATHROOM APARTMENT 20 ARMINGTON ST ,Inner Core,10:07.0,25025000602.0,True,606536.0,20 armington,-71.1368,-71.13646062,42.3522,42.35227867,,False,Brighton,Allston,BRIGHTON,1BR/1BA Apartment - 20 Armington St,12/3/15 14:58,,False,2.0,39.0, ONE BEDROOM ONE BATHROOM APARTMENT 20 ARMINGTON ST ,BOSTON,602.0,602.0,1650 1 1BR 1BA Apartment   20 Armington St -71.1368 42.3522,10:07.0
174504.0,7,Tucker Street,Pepperell,,1350.0,2.0,, TWO BEDROOM ONE FIVE BATHROOM CONDO SEVEN TUCKER ST ,Developing Suburbs,10:07.0,25017327102.0,False,606537.0,"7 Tucker Street, Pepperell, MA, USA",-71.5828,-71.582634,42.6677,42.668122,0.8,True,,,,2BR/1.5BA Condo - 7 Tucker St,7/28/15 13:48,,False,2.0,39.0, TWO BEDROOM ONE FIVE BATHROOM CONDO SEVEN TUCKER ST ,PEPPERELL,327102.0,,1350 2 2BR 1 5BA Condo   7 Tucker St -71.5828 42.6677,10:07.0
174505.0,580,Liberty Street,Braintree Town,,2154.0,1.0,, ONE BEDROOM ONE BATHROOM 550 LIBERTY ST ,Maturing Suburbs,10:07.0,25021419700.0,False,606538.0,"580 Liberty Street, Braintree Town, MA, USA",-70.9848,-70.984394,42.202,42.20198,0.8,True,,,,1BR/1BA  - 550 Liberty St,11/24/15 21:23,,False,2.0,39.0, ONE BEDROOM ONE BATHROOM 550 LIBERTY ST ,BRAINTREE,419700.0,,2154 1 1BR 1BA    550 Liberty St -70.9848 42.202,10:07.0
174506.0,64,BIGELOW,WATERTOWN,,1600.0,1.0,370300.0, ONE BEDROOM ONE BATHROOM CONDO 64 BIGELOW AVE ,Inner Core,10:07.0,25017370300.0,True,606539.0,64 bigelow,-71.1569,-71.1566945655,42.3692,42.3687098904,,False,,,,1BR/1BA Condo - 64 Bigelow Ave,12/8/15 14:54,,False,2.0,39.0, ONE BEDROOM ONE BATHROOM CONDO 64 BIGELOW AVE ,WATERTOWN,370300.0,370300.0,1600 1 1BR 1BA Condo   64 Bigelow Ave -71.1569 42.3692,10:07.0
174507.0,34,WINCHESTER,BROOKLINE,,2450.0,3.0,400400.0, THREE BEDROOM ONE BATHROOM APARTMENT 34 WINCHESTER ST ,Inner Core,10:07.0,25021400400.0,True,606540.0,34 winchester,-71.126,-71.1259718986,42.3422,42.3421279776,,False,,,,3BR/1BA Apartment - 34 Winchester St,11/16/15 14:56,,False,2.0,39.0, THREE BEDROOM ONE BATHROOM APARTMENT 34 WINCHESTER ST ,BROOKLINE,400400.0,400400.0,2450 3 3BR 1BA Apartment   34 Winchester St -71.126 42.3422,10:07.0
174508.0,40.0,Boylston,Boston,,2250.0,1.0,70101.0, ONE BEDROOM ONE BATHROOM APARTMENT 40 BOYLSTON ST ,Inner Core,10:07.0,25025070101.0,True,606541.0,40 boylston,-71.0639,-71.06385015,42.3522,42.35220102,,False,Downtown,Downtown,CHINATOWN/FINANCIAL,1BR/1BA Apartment - 40 Boylston St,12/4/15 14:56,,False,2.0,39.0, ONE BEDROOM ONE BATHROOM APARTMENT 40 BOYLSTON ST ,BOSTON,70101.0,70101.0,2250 1 1BR 1BA Apartment   40 Boylston St -71.0639 42.3522,10:07.0
174509.0,1079.0,Commonwealth,Allston,,2800.0,2.0,802.0, TWO BEDROOM TWO BATHROOM APARTMENT 1079 COMMONWEALTH AVENUE ,Inner Core,10:07.0,25025000802.0,True,606542.0,1079 commonwealth,-71.1244,-71.12456061,42.3523,42.35251867,,False,Allston,Allston,ALLSTON,2BR/2BA Apartment - 1079 Commonwealth Avenue,12/4/15 14:57,,False,2.0,39.0, TWO BEDROOM TWO BATHROOM APARTMENT 1079 COMMONWEALTH AVENUE ,BOSTON,802.0,802.0,2800 2 2BR 2BA Apartment   1079 Commonwealth Avenue -71.1244 42.3523,10:07.0
174510.0,44.0,Pratt,Allston,,6200.0,7.0,802.0, SEVEN BEDROOM THREE BATHROOM APARTMENT 44 PRATT ST ,Inner Core,10:07.0,25025000802.0,True,606543.0,44 pratt,-71.1275,-71.12753061,42.3553,42.35538867,,False,Allston,Allston,ALLSTON,7BR/3BA Apartment - 44 Pratt St,11/16/15 14:57,,False,2.0,39.0, SEVEN BEDROOM THREE BATHROOM APARTMENT 44 PRATT ST ,BOSTON,802.0,802.0,6200 7 7BR 3BA Apartment   44 Pratt St -71.1275 42.3553,10:07.0
174511.0,1061,BEACON,BROOKLINE,,3495.0,3.0,400100.0, THREE BEDROOM TWO BATHROOM APARTMENT 1061 BEACON ST ,Inner Core,10:07.0,25021400100.0,True,606544.0,1061 beacon,-71.1095,-71.1093962842,42.3452,42.3450503081,,False,,,,3BR/2BA Apartment - 1061 Beacon St,12/4/15 14:57,,False,2.0,39.0, THREE BEDROOM TWO BATHROOM APARTMENT 1061 BEACON ST ,BROOKLINE,400100.0,400100.0,3495 3 3BR 2BA Apartment   1061 Beacon St -71.1095 42.3452,10:07.0
174512.0,91,SIDNEY,CAMBRIDGE,,2301.0,1.0,353200.0, ONE BEDROOM ONE BATHROOM APARTMENT 91 SIDNEY ST ,Inner Core,10:07.0,25017353200.0,True,606545.0,91 sidney,-71.1022,-71.1022234409,42.3609,42.3607962462,,False,Cambridgeport,,,1BR/1BA Apartment - 91 Sidney St,11/17/15 14:56,,False,2.0,39.0, ONE BEDROOM ONE BATHROOM APARTMENT 91 SIDNEY ST ,CAMBRIDGE,353200.0,353200.0,2301 1 1BR 1BA Apartment   91 Sidney St -71.1022 42.3609,10:07.0
