,id,ask,bedrooms,title,original_title,cl_title,address,post_at,created_at,updated_at,source_id,survey_id,latitude,longitude,uniqueid,town,comm_type,tract10,ct10_id,neighborhood_01,neighborhood_02,neighborhood_03
180651,612678,1900,1, ONE BEDROOM ONE BATHROOM APARTMENT 56 CHARLESGATE E ,1BR/1BA Apartment - 56 Charlesgate E, ONE BEDROOM ONE BATHROOM APARTMENT 56 CHARLESGATE E ,,8/8/15 6:07,17:58.6,17:58.6,2,39,-71.091,42.3469,1900 1 1BR 1BA Apartment   56 Charlesgate E -71.091 42.3469,BOSTON,Inner Core,10203.0,25025010203.0,Fenway,Fenway,FENWAY
180652,612679,1850,2, TWO BEDROOM ONE BATHROOM APARTMENT 255 WEBSTER ST ,2BR/1BA Apartment - 255 Webster St, TWO BEDROOM ONE BATHROOM APARTMENT 255 WEBSTER ST ,,11/26/15 0:28,17:58.6,17:58.6,2,39,-71.0317,42.3647,1850 2 2BR 1BA Apartment   255 Webster St -71.0317 42.3647,BOSTON,Inner Core,51200.0,25025051200.0,East Boston,East Boston,EB WATERFRONT
180653,612680,1900,2, TWO BEDROOM ONE BATHROOM APARTMENT 35 RAWSON ST ,2BR/1BA Apartment - 35 Rawson St, TWO BEDROOM ONE BATHROOM APARTMENT 35 RAWSON ST ,,12/4/15 1:37,17:58.6,17:58.6,2,39,-71.0583,42.3264,1900 2 2BR 1BA Apartment   35 Rawson St -71.0583 42.3264,BOSTON,Inner Core,90700.0,25025090700.0,Dorchester,Dorchester,UPHAMS SAVIN
180654,612681,4200,3, THREE BEDROOM ONE BATHROOM APARTMENT 67 LOUIS PRANG ST ,3BR/1BA Apartment - 67 Louis Prang St, THREE BEDROOM ONE BATHROOM APARTMENT 67 LOUIS PRANG ST ,,7/28/15 3:47,17:58.6,17:58.6,2,39,-71.0966,42.3384,4200 3 3BR 1BA Apartment   67 Louis Prang St -71.0966 42.3384,BOSTON,Inner Core,10300.0,25025010300.0,Longwood Medical Area,Fenway,FENWAY
180655,612682,2600,1, ONE BEDROOM ONE BATHROOM APARTMENT 12 GLOUCESTER ST ,1BR/1BA Apartment - 12 Gloucester St, ONE BEDROOM ONE BATHROOM APARTMENT 12 GLOUCESTER ST ,,10/27/15 17:46,17:58.6,17:58.6,2,39,-71.0851,42.3509,2600 1 1BR 1BA Apartment   12 Gloucester St -71.0851 42.3509,BOSTON,Inner Core,10802.0,25025010802.0,Back Bay,Back Bay,BACK BAY B HILL
180656,612683,2250,0, 0 BEDROOM ONE BATHROOM APARTMENT 232 NEWBURY ST ,0BR/1BA Apartment - 232 Newbury St, 0 BEDROOM ONE BATHROOM APARTMENT 232 NEWBURY ST ,,9/22/15 16:00,17:58.6,17:58.6,2,39,-71.0815,42.3497,2250 0 0BR 1BA Apartment   232 Newbury St -71.0815 42.3497,BOSTON,Inner Core,10701.0,25025010701.0,Back Bay,Back Bay,BACK BAY B HILL
180657,612684,2800,4, FOUR BEDROOM ONE BATHROOM APARTMENT 57 WALDEN ST ,4BR/1BA Apartment - 57 Walden St, FOUR BEDROOM ONE BATHROOM APARTMENT 57 WALDEN ST ,,8/25/15 18:06,17:58.6,17:58.6,2,39,-71.1043,42.324,2800 4 4BR 1BA Apartment   57 Walden St -71.1043 42.324,BOSTON,Inner Core,81200.0,25025081200.0,Jamaica Plain,Jamaica Plain,JP PONDSIDE
180658,612685,2100,0, 0 BEDROOM ONE BATHROOM APARTMENT 107 PINCKNEY ST ,0BR/1BA Apartment - 107 Pinckney St, 0 BEDROOM ONE BATHROOM APARTMENT 107 PINCKNEY ST ,,9/29/15 17:50,17:58.6,17:58.6,2,39,-71.0697,42.3589,2100 0 0BR 1BA Apartment   107 Pinckney St -71.0697 42.3589,BOSTON,Inner Core,20101.0,25025020101.0,Beacon Hill,Beacon Hill,BACK BAY B HILL
180659,612686,3300,2, TWO BEDROOM TWO BATHROOM APARTMENT SIX CANAL PARK ,2BR/2BA Apartment - 6 Canal Park, TWO BEDROOM TWO BATHROOM APARTMENT SIX CANAL PARK ,,9/20/15 17:21,18:02.3,18:02.3,2,39,-71.0742,42.3695,3300 2 2BR 2BA Apartment   6 Canal Park -71.0742 42.3695,CAMBRIDGE,Inner Core,352102.0,25017352102.0,East Cambridge,,
180660,612687,1700,1, ONE BEDROOM ONE BATHROOM APARTMENT 115 NORWAY ST ,1BR/1BA Apartment - 115 Norway St, ONE BEDROOM ONE BATHROOM APARTMENT 115 NORWAY ST ,,9/20/15 1:05,18:02.3,18:02.3,2,39,-71.0889,42.3455,1700 1 1BR 1BA Apartment   115 Norway St -71.0889 42.3455,BOSTON,Inner Core,10403.0,25025010403.0,Fenway,Fenway,FENWAY
